video_id,title,description,channel_id,channel_title,published_at,category_id,duration,definition,caption_status,live_broadcast_content,tags,view_count,like_count,comment_count,favorite_count,data_source,duration_seconds,is_outlier,publication_date,publication_year,publication_month,publication_month_name,publication_day,publication_day_name,publication_hour,posting_time_group,video_duration_seconds,video_duration_minutes,duration_category,total_interactions,engagement_rate,like_rate,comment_rate,video_age_days,views_per_day,likes_per_day,comments_per_day,performance_category
KgIGiwepsCI,Build a Data Science Dashboard from Scratch,[SYNTHETIC] Build a Data Science Dashboard from Scratch — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2023-04-15 22:39:23+00:00,27,PT6M14S,hd,False,none,Machine Learning|NumPy,10321,109,98,0,SYNTHETIC_SAMPLE,374,False,2023-04-16,2023,4,April,16,Sunday,4,Late Night,374,6.23,Medium,207,2.0056,1.0561,0.9495,1214,8.5,0.09,0.08,Low
OqF52fBraXO,Complete Visualization Course — Zero to Hero,[SYNTHETIC] Complete Visualization Course — Zero to Hero — sample description for demo purposes.,UC_DATA002,DataDriven,2023-02-11 22:24:00+00:00,28,PT8M35S,hd,False,none,Visualization|Python|Power BI|Data Analytics|Statistics,17155,1033,59,0,SYNTHETIC_SAMPLE,515,False,2023-02-12,2023,2,February,12,Sunday,3,Late Night,515,8.58,Medium,1092,6.3655,6.0216,0.3439,1277,13.43,0.81,0.05,Average
t5Y35npgX4A,Data Analytics Project Ideas for Your Resume,[SYNTHETIC] Data Analytics Project Ideas for Your Resume — sample description for demo purposes.,UC_CODE003,CodeMaster,2024-08-22 03:56:17+00:00,25,PT14M25S,hd,True,none,Excel|Deep Learning|Python,26738,544,62,0,SYNTHETIC_SAMPLE,865,False,2024-08-22,2024,8,August,22,Thursday,9,Morning,865,14.42,Medium,606,2.2664,2.0346,0.2319,720,37.14,0.76,0.09,Low
g32o0DtYobm,Learn Deep Learning the Right Way,[SYNTHETIC] Learn Deep Learning the Right Way — sample description for demo purposes.,UC_CODE003,CodeMaster,2023-05-25 22:29:33+00:00,22,PT9M14S,sd,True,none,Statistics|Dashboard|AI|Business Intelligence,2013,57,23,0,SYNTHETIC_SAMPLE,554,False,2023-05-26,2023,5,May,26,Friday,3,Late Night,554,9.23,Medium,80,3.9742,2.8316,1.1426,1174,1.71,0.05,0.02,Average
cMwYB_h5mcB,Advanced Power BI Techniques,[SYNTHETIC] Advanced Power BI Techniques — sample description for demo purposes.,UC_PYTH006,PythonPro,2024-03-18 16:02:07+00:00,28,PT27M12S,hd,False,none,SQL|Business Intelligence|Dashboard|ETL|Deep Learning,3154,159,46,0,SYNTHETIC_SAMPLE,1632,False,2024-03-18,2024,3,March,18,Monday,21,Night,1632,27.2,Long,205,6.4997,5.0412,1.4585,877,3.6,0.18,0.05,Average
iA8R5NtJasB,Dashboard Explained in 10 Minutes,[SYNTHETIC] Dashboard Explained in 10 Minutes — sample description for demo purposes.,UC_DATA002,DataDriven,2024-06-19 23:23:59+00:00,22,PT10M34S,sd,False,none,Data Engineering|Tableau|ETL|AI|Visualization,15278,583,73,0,SYNTHETIC_SAMPLE,634,False,2024-06-20,2024,6,June,20,Thursday,4,Late Night,634,10.57,Medium,656,4.2938,3.8159,0.4778,783,19.51,0.74,0.09,Average
ptZjc_NXD4K,Data Science vs Everything — Which is Best?,[SYNTHETIC] Data Science vs Everything — Which is Best? — sample description for demo purposes.,UC_CODE003,CodeMaster,2024-12-17 17:58:05+00:00,28,PT10M43S,sd,False,none,Pandas|Machine Learning|Python|Data Engineering|AI,5931,98,84,0,SYNTHETIC_SAMPLE,643,False,2024-12-17,2024,12,December,17,Tuesday,23,Night,643,10.72,Medium,182,3.0686,1.6523,1.4163,602,9.85,0.16,0.14,Low
6hiDHJuWC05,Complete Pandas Course — Zero to Hero,[SYNTHETIC] Complete Pandas Course — Zero to Hero — sample description for demo purposes.,UC_DATA002,DataDriven,2023-10-25 22:02:54+00:00,24,PT50M22S,sd,True,none,Data Engineering|NumPy|Pandas|Deep Learning|Business Intelligence,43741,1859,375,0,SYNTHETIC_SAMPLE,3022,False,2023-10-26,2023,10,October,26,Thursday,3,Late Night,3022,50.37,Long,2234,5.1073,4.25,0.8573,1021,42.84,1.82,0.37,Average
ruIioSTeAIA,The Ultimate ETL Guide,[SYNTHETIC] The Ultimate ETL Guide — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2022-11-18 07:20:41+00:00,25,PT12M30S,sd,False,none,AI|ETL,5045,77,23,0,SYNTHETIC_SAMPLE,750,False,2022-11-18,2022,11,November,18,Friday,12,Afternoon,750,12.5,Medium,100,1.9822,1.5263,0.4559,1363,3.7,0.06,0.02,Low
Z5FrFyQZU16,Learn Data Science the Right Way,[SYNTHETIC] Learn Data Science the Right Way — sample description for demo purposes.,UC_TECH001,TechInsights,2024-08-24 15:25:15+00:00,22,PT12M9S,hd,False,none,SQL|Deep Learning,9182,437,102,0,SYNTHETIC_SAMPLE,729,False,2024-08-24,2024,8,August,24,Saturday,20,Evening,729,12.15,Medium,539,5.8702,4.7593,1.1109,718,12.79,0.61,0.14,Average
WyW1qfbI-wP,Excel Tutorial for Beginners,[SYNTHETIC] Excel Tutorial for Beginners — sample description for demo purposes.,UC_CODE003,CodeMaster,2024-10-09 11:10:29+00:00,24,PT10M35S,hd,True,none,Tableau|Python|Machine Learning,116106,2881,608,0,SYNTHETIC_SAMPLE,635,False,2024-10-09,2024,10,October,9,Wednesday,16,Afternoon,635,10.58,Medium,3489,3.005,2.4814,0.5237,672,172.78,4.29,0.9,Low
xM9TXktL7K6,The Ultimate ETL Guide,[SYNTHETIC] The Ultimate ETL Guide — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2023-08-07 00:27:27+00:00,27,PT1M55S,sd,True,none,Pandas|Power BI,34320,1460,144,0,SYNTHETIC_SAMPLE,115,False,2023-08-07,2023,8,August,7,Monday,5,Late Night,115,1.92,Short,1604,4.6737,4.2541,0.4196,1101,31.17,1.33,0.13,Average
xGv20g9O1TB,Learn Power BI the Right Way,[SYNTHETIC] Learn Power BI the Right Way — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2024-03-21 12:07:42+00:00,25,PT17M49S,sd,False,none,Deep Learning|NumPy|Business Intelligence|Visualization|Power BI,16266,557,109,0,SYNTHETIC_SAMPLE,1069,False,2024-03-21,2024,3,March,21,Thursday,17,Evening,1069,17.82,Long,666,4.0944,3.4243,0.6701,874,18.61,0.64,0.12,Average
b2lnZv4Sra8,Top 10 Data Engineering Tips and Tricks,[SYNTHETIC] Top 10 Data Engineering Tips and Tricks — sample description for demo purposes.,UC_DATA002,DataDriven,2022-05-13 23:52:57+00:00,22,PT53M55S,hd,False,none,Visualization|Pandas|ETL|Business Intelligence|Statistics,5427,286,32,0,SYNTHETIC_SAMPLE,3235,False,2022-05-14,2022,5,May,14,Saturday,5,Late Night,3235,53.92,Long,318,5.8596,5.2699,0.5896,1551,3.5,0.18,0.02,Average
LEHBVvSrqhm,How to Master Python in 2024,[SYNTHETIC] How to Master Python in 2024 — sample description for demo purposes.,UC_SQLE008,SQLExpert,2022-07-05 17:19:25+00:00,24,PT11M54S,hd,True,none,ETL|NumPy|Data Science,6244,364,30,0,SYNTHETIC_SAMPLE,714,False,2022-07-05,2022,7,July,5,Tuesday,22,Night,714,11.9,Medium,394,6.3101,5.8296,0.4805,1498,4.17,0.24,0.02,Average
r_JSi3F3KEC,Top 10 Data Science Tips and Tricks,[SYNTHETIC] Top 10 Data Science Tips and Tricks — sample description for demo purposes.,UC_DATA002,DataDriven,2022-10-14 09:34:32+00:00,27,PT10M9S,hd,False,none,Power BI|SQL|AI|Pandas|Data Analytics,34271,376,282,0,SYNTHETIC_SAMPLE,609,False,2022-10-14,2022,10,October,14,Friday,15,Afternoon,609,10.15,Medium,658,1.92,1.0971,0.8229,1398,24.51,0.27,0.2,Low
JAMNXy6tLBK,Learn Machine Learning the Right Way,[SYNTHETIC] Learn Machine Learning the Right Way — sample description for demo purposes.,UC_TECH001,TechInsights,2022-04-04 13:32:54+00:00,27,PT10M11S,hd,True,none,NumPy|SQL|Excel,12563,200,51,0,SYNTHETIC_SAMPLE,611,False,2022-04-04,2022,4,April,4,Monday,19,Evening,611,10.18,Medium,251,1.9979,1.592,0.406,1591,7.9,0.13,0.03,Low
soTSDR7YOQ7,How to Master Visualization in 2024,[SYNTHETIC] How to Master Visualization in 2024 — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2023-10-23 10:19:46+00:00,27,PT11M58S,hd,True,none,NumPy|Machine Learning|SQL,70633,2933,643,0,SYNTHETIC_SAMPLE,718,False,2023-10-23,2023,10,October,23,Monday,15,Afternoon,718,11.97,Medium,3576,5.0628,4.1524,0.9103,1024,68.98,2.86,0.63,Average
DtzrICM4VMb,I Tried Data Science for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Data Science for 30 Days — Here's What Happened — sample description for demo purposes.,UC_TECH001,TechInsights,2022-12-22 14:55:14+00:00,27,PT14M42S,hd,False,none,Excel|ETL,24318,1811,167,0,SYNTHETIC_SAMPLE,882,False,2022-12-22,2022,12,December,22,Thursday,20,Evening,882,14.7,Medium,1978,8.1339,7.4472,0.6867,1329,18.3,1.36,0.13,High
AugkAFQzWcf,I Tried Excel for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Excel for 30 Days — Here's What Happened — sample description for demo purposes.,UC_SQLE008,SQLExpert,2023-01-28 02:06:40+00:00,22,PT13M23S,sd,True,none,Dashboard|Python|Data Engineering|Tableau|Visualization,8455,658,61,0,SYNTHETIC_SAMPLE,803,False,2023-01-28,2023,1,January,28,Saturday,7,Morning,803,13.38,Medium,719,8.5038,7.7824,0.7215,1292,6.54,0.51,0.05,Viral
ris4FbOZTta,I Tried Statistics for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Statistics for 30 Days — Here's What Happened — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2023-09-26 18:59:43+00:00,25,PT57M42S,hd,True,none,Data Engineering|Power BI,21859,894,27,0,SYNTHETIC_SAMPLE,3462,False,2023-09-27,2023,9,September,27,Wednesday,0,Late Night,3462,57.7,Long,921,4.2134,4.0898,0.1235,1050,20.82,0.85,0.03,Average
pJy6G43rYA7,Data Science vs Everything — Which is Best?,[SYNTHETIC] Data Science vs Everything — Which is Best? — sample description for demo purposes.,UC_CODE003,CodeMaster,2024-02-28 17:49:57+00:00,24,PT12M5S,sd,True,none,Data Science|ETL|Machine Learning|Pandas,184650,12635,2716,0,SYNTHETIC_SAMPLE,725,True,2024-02-28,2024,2,February,28,Wednesday,23,Night,725,12.08,Medium,15351,8.3136,6.8427,1.4709,895,206.31,14.12,3.03,High
mSKoXcVTZyQ,Business Intelligence vs Everything — Which is Best?,[SYNTHETIC] Business Intelligence vs Everything — Which is Best? — sample description for demo purposes.,UC_SQLE008,SQLExpert,2024-10-09 21:01:48+00:00,22,PT40M46S,hd,False,none,Machine Learning|Dashboard,11807,494,60,0,SYNTHETIC_SAMPLE,2446,False,2024-10-10,2024,10,October,10,Thursday,2,Late Night,2446,40.77,Long,554,4.6921,4.184,0.5082,671,17.6,0.74,0.09,Average
3_eYqNzfvRI,How to Master Data Engineering in 2024,[SYNTHETIC] How to Master Data Engineering in 2024 — sample description for demo purposes.,UC_PYTH006,PythonPro,2023-05-07 21:59:00+00:00,28,PT12M47S,sd,True,none,Pandas|Data Science,7026,77,18,0,SYNTHETIC_SAMPLE,767,False,2023-05-08,2023,5,May,8,Monday,3,Late Night,767,12.78,Medium,95,1.3521,1.0959,0.2562,1192,5.89,0.06,0.02,Low
5cYsxjHKYkf,How to Master Deep Learning in 2024,[SYNTHETIC] How to Master Deep Learning in 2024 — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2023-08-18 06:17:06+00:00,28,PT21M52S,hd,False,none,Pandas|Data Engineering|NumPy,120749,4957,1275,0,SYNTHETIC_SAMPLE,1312,False,2023-08-18,2023,8,August,18,Friday,11,Morning,1312,21.87,Long,6232,5.1611,4.1052,1.0559,1090,110.78,4.55,1.17,Average
CwLOBq2myEp,Advanced Python Techniques,[SYNTHETIC] Advanced Python Techniques — sample description for demo purposes.,UC_SQLE008,SQLExpert,2024-06-07 10:49:24+00:00,22,PT34M39S,sd,False,none,Python|AI|NumPy|Visualization,2772,159,7,0,SYNTHETIC_SAMPLE,2079,False,2024-06-07,2024,6,June,7,Friday,16,Afternoon,2079,34.65,Long,166,5.9885,5.7359,0.2525,796,3.48,0.2,0.01,Average
ZomqWXRigOc,ETL Project Ideas for Your Resume,[SYNTHETIC] ETL Project Ideas for Your Resume — sample description for demo purposes.,UC_TECH001,TechInsights,2023-11-16 19:04:47+00:00,25,PT34M33S,hd,False,none,SQL|Data Science|Business Intelligence,64242,4130,246,0,SYNTHETIC_SAMPLE,2073,False,2023-11-17,2023,11,November,17,Friday,0,Late Night,2073,34.55,Long,4376,6.8117,6.4288,0.3829,999,64.31,4.13,0.25,Average
1q0EZVvh9j9,Complete Tableau Course — Zero to Hero,[SYNTHETIC] Complete Tableau Course — Zero to Hero — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2024-11-16 15:10:33+00:00,27,PT39M59S,sd,False,none,AI|Python,1713,80,23,0,SYNTHETIC_SAMPLE,2399,False,2024-11-16,2024,11,November,16,Saturday,20,Evening,2399,39.98,Long,103,6.0128,4.6702,1.3427,634,2.7,0.13,0.04,Average
8gob4J6oe06,Build a Power BI Dashboard from Scratch,[SYNTHETIC] Build a Power BI Dashboard from Scratch — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2023-04-15 10:27:58+00:00,25,PT9M28S,sd,True,none,Data Analytics|Visualization|Data Science,3047,155,37,0,SYNTHETIC_SAMPLE,568,False,2023-04-15,2023,4,April,15,Saturday,15,Afternoon,568,9.47,Medium,192,6.3013,5.087,1.2143,1215,2.51,0.13,0.03,Average
8SILU4P1N8r,Top 10 Power BI Tips and Tricks,[SYNTHETIC] Top 10 Power BI Tips and Tricks — sample description for demo purposes.,UC_SQLE008,SQLExpert,2024-12-08 07:31:42+00:00,28,PT24M16S,sd,True,none,Data Engineering|Pandas|Statistics|Data Analytics|Business Intelligence,15197,565,89,0,SYNTHETIC_SAMPLE,1456,False,2024-12-08,2024,12,December,8,Sunday,13,Afternoon,1456,24.27,Long,654,4.3035,3.7178,0.5856,612,24.83,0.92,0.15,Average
0fnO_dv-Yn1,Statistics Tutorial for Beginners,[SYNTHETIC] Statistics Tutorial for Beginners — sample description for demo purposes.,UC_PYTH006,PythonPro,2024-05-10 22:21:50+00:00,25,PT8M14S,hd,True,none,Business Intelligence|Machine Learning|Python,60644,4716,864,0,SYNTHETIC_SAMPLE,494,False,2024-05-11,2024,5,May,11,Saturday,3,Late Night,494,8.23,Medium,5580,9.2012,7.7765,1.4247,823,73.69,5.73,1.05,Viral
iwYLbqiAheC,Machine Learning vs Everything — Which is Best?,[SYNTHETIC] Machine Learning vs Everything — Which is Best? — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2023-07-17 09:47:28+00:00,27,PT7M58S,hd,False,none,Data Analytics|Dashboard|Data Science,18424,326,240,0,SYNTHETIC_SAMPLE,478,False,2023-07-17,2023,7,July,17,Monday,15,Afternoon,478,7.97,Medium,566,3.0721,1.7694,1.3026,1122,16.42,0.29,0.21,Low
6efMerOJu-H,Build a Data Analytics Dashboard from Scratch,[SYNTHETIC] Build a Data Analytics Dashboard from Scratch — sample description for demo purposes.,UC_SQLE008,SQLExpert,2023-12-06 19:44:12+00:00,28,PT44M7S,sd,True,none,Visualization|Tableau,10445,606,79,0,SYNTHETIC_SAMPLE,2647,False,2023-12-07,2023,12,December,7,Thursday,1,Late Night,2647,44.12,Long,685,6.5582,5.8018,0.7563,979,10.67,0.62,0.08,Average
uuq9REffBVx,Pandas Full Project Walkthrough,[SYNTHETIC] Pandas Full Project Walkthrough — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2022-07-22 03:03:20+00:00,24,PT12M44S,hd,False,none,Deep Learning|Statistics,12541,475,138,0,SYNTHETIC_SAMPLE,764,False,2022-07-22,2022,7,July,22,Friday,8,Morning,764,12.73,Medium,613,4.888,3.7876,1.1004,1482,8.46,0.32,0.09,Average
Qog2xWKZ2_0,I Tried Data Science for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Data Science for 30 Days — Here's What Happened — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2024-08-11 03:40:11+00:00,28,PT6M46S,hd,False,none,Excel|NumPy,3053,154,10,0,SYNTHETIC_SAMPLE,406,False,2024-08-11,2024,8,August,11,Sunday,9,Morning,406,6.77,Medium,164,5.3718,5.0442,0.3275,731,4.18,0.21,0.01,Average
jObVnAvxUXK,Statistics Tutorial for Beginners,[SYNTHETIC] Statistics Tutorial for Beginners — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2022-05-12 23:25:40+00:00,22,PT7M26S,hd,True,none,Data Analytics|SQL|NumPy,6323,313,39,0,SYNTHETIC_SAMPLE,446,False,2022-05-13,2022,5,May,13,Friday,4,Late Night,446,7.43,Medium,352,5.567,4.9502,0.6168,1552,4.07,0.2,0.03,Average
whRLHto-dn8,I Tried ETL for 30 Days — Here's What Happened,[SYNTHETIC] I Tried ETL for 30 Days — Here's What Happened — sample description for demo purposes.,UC_SQLE008,SQLExpert,2022-08-02 04:29:03+00:00,24,PT9M39S,sd,False,none,Power BI|Python|ETL|Statistics,6904,173,54,0,SYNTHETIC_SAMPLE,579,False,2022-08-02,2022,8,August,2,Tuesday,9,Morning,579,9.65,Medium,227,3.2879,2.5058,0.7822,1471,4.69,0.12,0.04,Low
Ze3cb63KKTA,Machine Learning Full Project Walkthrough,[SYNTHETIC] Machine Learning Full Project Walkthrough — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2022-06-28 21:58:28+00:00,27,PT8M55S,sd,True,none,Excel|Data Engineering|Statistics|Data Analytics,64002,2881,805,0,SYNTHETIC_SAMPLE,535,False,2022-06-29,2022,6,June,29,Wednesday,3,Late Night,535,8.92,Medium,3686,5.7592,4.5014,1.2578,1505,42.53,1.91,0.53,Average
VoXeOHmXw9P,Pandas Full Project Walkthrough,[SYNTHETIC] Pandas Full Project Walkthrough — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2022-08-18 10:16:34+00:00,28,PT13M56S,hd,True,none,NumPy|Tableau|Excel,27186,421,356,0,SYNTHETIC_SAMPLE,836,False,2022-08-18,2022,8,August,18,Thursday,15,Afternoon,836,13.93,Medium,777,2.8581,1.5486,1.3095,1455,18.68,0.29,0.24,Low
C7KON3OjeCt,Learn Excel the Right Way,[SYNTHETIC] Learn Excel the Right Way — sample description for demo purposes.,UC_CODE003,CodeMaster,2023-03-03 16:34:35+00:00,28,PT12M55S,hd,False,none,Data Science|Data Engineering,2411,151,27,0,SYNTHETIC_SAMPLE,775,False,2023-03-03,2023,3,March,3,Friday,22,Night,775,12.92,Medium,178,7.3828,6.263,1.1199,1258,1.92,0.12,0.02,High
fMyL9Vc6KmM,Why Data Analytics is the Future of Tech,[SYNTHETIC] Why Data Analytics is the Future of Tech — sample description for demo purposes.,UC_SQLE008,SQLExpert,2024-02-18 20:19:40+00:00,28,PT20M15S,hd,True,none,Power BI|Business Intelligence|SQL|NumPy|Dashboard,17704,975,259,0,SYNTHETIC_SAMPLE,1215,False,2024-02-19,2024,2,February,19,Monday,1,Late Night,1215,20.25,Long,1234,6.9702,5.5072,1.4629,905,19.56,1.08,0.29,High
x6yXRdOvvJy,Pandas Interview Questions and Answers,[SYNTHETIC] Pandas Interview Questions and Answers — sample description for demo purposes.,UC_CODE003,CodeMaster,2023-01-27 11:05:01+00:00,28,PT12M29S,hd,False,none,Machine Learning|Statistics,12599,588,117,0,SYNTHETIC_SAMPLE,749,False,2023-01-27,2023,1,January,27,Friday,16,Afternoon,749,12.48,Medium,705,5.5957,4.667,0.9286,1293,9.74,0.45,0.09,Average
Y0Q1VRHPBxx,I Tried Machine Learning for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Machine Learning for 30 Days — Here's What Happened — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2022-10-08 00:41:19+00:00,24,PT6M26S,hd,False,none,Tableau|Pandas|Machine Learning|SQL|Data Analytics,6657,210,39,0,SYNTHETIC_SAMPLE,386,False,2022-10-08,2022,10,October,8,Saturday,6,Morning,386,6.43,Medium,249,3.7404,3.1546,0.5858,1404,4.74,0.15,0.03,Low
Xiyk1XZkCAR,Learn Dashboard the Right Way,[SYNTHETIC] Learn Dashboard the Right Way — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2023-01-04 23:46:03+00:00,28,PT13M59S,sd,False,none,Pandas|Visualization|Data Science|AI|Data Engineering,31251,395,168,0,SYNTHETIC_SAMPLE,839,False,2023-01-05,2023,1,January,5,Thursday,5,Late Night,839,13.98,Medium,563,1.8015,1.264,0.5376,1315,23.77,0.3,0.13,Low
yH90ZiqP3Jg,The Ultimate Statistics Guide,[SYNTHETIC] The Ultimate Statistics Guide — sample description for demo purposes.,UC_SQLE008,SQLExpert,2024-03-12 10:29:45+00:00,27,PT45M5S,hd,False,none,Excel|NumPy,41351,1749,189,0,SYNTHETIC_SAMPLE,2705,False,2024-03-12,2024,3,March,12,Tuesday,15,Afternoon,2705,45.08,Long,1938,4.6867,4.2296,0.4571,883,46.83,1.98,0.21,Average
7AzxyfougTv,Machine Learning Project Ideas for Your Resume,[SYNTHETIC] Machine Learning Project Ideas for Your Resume — sample description for demo purposes.,UC_SQLE008,SQLExpert,2022-08-15 21:06:46+00:00,25,PT8M47S,hd,True,none,ETL|Machine Learning|Visualization|Pandas,36687,2464,488,0,SYNTHETIC_SAMPLE,527,False,2022-08-16,2022,8,August,16,Tuesday,2,Late Night,527,8.78,Medium,2952,8.0464,6.7163,1.3302,1457,25.18,1.69,0.33,High
HhstdAYDh5M,Python Explained in 10 Minutes,[SYNTHETIC] Python Explained in 10 Minutes — sample description for demo purposes.,UC_TECH001,TechInsights,2022-01-26 12:45:15+00:00,28,PT7M33S,hd,True,none,Deep Learning|Python|Statistics|Power BI,18264,884,201,0,SYNTHETIC_SAMPLE,453,False,2022-01-26,2022,1,January,26,Wednesday,18,Evening,453,7.55,Medium,1085,5.9406,4.8401,1.1005,1659,11.01,0.53,0.12,Average
YGb3cyxVwep,SQL vs Everything — Which is Best?,[SYNTHETIC] SQL vs Everything — Which is Best? — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2024-10-17 18:37:39+00:00,27,PT19M38S,hd,False,none,Data Analytics|Statistics|Business Intelligence,12420,953,104,0,SYNTHETIC_SAMPLE,1178,False,2024-10-18,2024,10,October,18,Friday,0,Late Night,1178,19.63,Long,1057,8.5105,7.6731,0.8374,663,18.73,1.44,0.16,Viral
