video_id,title,description,channel_id,channel_title,published_at,category_id,duration,definition,caption_status,live_broadcast_content,tags,view_count,like_count,comment_count,favorite_count,data_source
g32o0DtYobm,Learn Deep Learning the Right Way,[SYNTHETIC] Learn Deep Learning the Right Way — sample description for demo purposes.,UC_CODE003,CodeMaster,2023-05-25T22:29:33Z,22,PT9M14S,sd,true,none,Statistics|Dashboard|AI|Business Intelligence,2013,57,23,0,SYNTHETIC_SAMPLE
cMwYB_h5mcB,Advanced Power BI Techniques,[SYNTHETIC] Advanced Power BI Techniques — sample description for demo purposes.,UC_PYTH006,PythonPro,2024-03-18T16:02:07Z,28,PT27M12S,hd,false,none,SQL|Business Intelligence|Dashboard|ETL|Deep Learning,3154,159,46,0,SYNTHETIC_SAMPLE
iA8R5NtJasB,Dashboard Explained in 10 Minutes,[SYNTHETIC] Dashboard Explained in 10 Minutes — sample description for demo purposes.,UC_DATA002,DataDriven,2024-06-19T23:23:59Z,22,PT10M34S,sd,false,none,Data Engineering|Tableau|ETL|AI|Visualization,15278,583,73,0,SYNTHETIC_SAMPLE
ptZjc_NXD4K,Data Science vs Everything — Which is Best?,[SYNTHETIC] Data Science vs Everything — Which is Best? — sample description for demo purposes.,UC_CODE003,CodeMaster,2024-12-17T17:58:05Z,28,PT10M43S,sd,false,none,Pandas|Machine Learning|Python|Data Engineering|AI,5931,98,84,0,SYNTHETIC_SAMPLE
6hiDHJuWC05,Complete Pandas Course — Zero to Hero,[SYNTHETIC] Complete Pandas Course — Zero to Hero — sample description for demo purposes.,UC_DATA002,DataDriven,2023-10-25T22:02:54Z,24,PT50M22S,sd,true,none,Data Engineering|NumPy|Pandas|Deep Learning|Business Intelligence,43741,1859,375,0,SYNTHETIC_SAMPLE
ruIioSTeAIA,The Ultimate ETL Guide,[SYNTHETIC] The Ultimate ETL Guide — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2022-11-18T07:20:41Z,25,PT12M30S,sd,false,none,AI|ETL,5045,77,23,0,SYNTHETIC_SAMPLE
Z5FrFyQZU16,Learn Data Science the Right Way,[SYNTHETIC] Learn Data Science the Right Way — sample description for demo purposes.,UC_TECH001,TechInsights,2024-08-24T15:25:15Z,22,PT12M9S,hd,false,none,SQL|Deep Learning,9182,437,102,0,SYNTHETIC_SAMPLE
WyW1qfbI-wP,Excel Tutorial for Beginners,[SYNTHETIC] Excel Tutorial for Beginners — sample description for demo purposes.,UC_CODE003,CodeMaster,2024-10-09T11:10:29Z,24,PT10M35S,hd,true,none,Tableau|Python|Machine Learning,116106,2881,608,0,SYNTHETIC_SAMPLE
xM9TXktL7K6,The Ultimate ETL Guide,[SYNTHETIC] The Ultimate ETL Guide — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2023-08-07T00:27:27Z,27,PT1M55S,sd,true,none,Pandas|Power BI,34320,1460,144,0,SYNTHETIC_SAMPLE
xGv20g9O1TB,Learn Power BI the Right Way,[SYNTHETIC] Learn Power BI the Right Way — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2024-03-21T12:07:42Z,25,PT17M49S,sd,false,none,Deep Learning|NumPy|Business Intelligence|Visualization|Power BI,16266,557,109,0,SYNTHETIC_SAMPLE
b2lnZv4Sra8,Top 10 Data Engineering Tips and Tricks,[SYNTHETIC] Top 10 Data Engineering Tips and Tricks — sample description for demo purposes.,UC_DATA002,DataDriven,2022-05-13T23:52:57Z,22,PT53M55S,hd,false,none,Visualization|Pandas|ETL|Business Intelligence|Statistics,5427,286,32,0,SYNTHETIC_SAMPLE
LEHBVvSrqhm,How to Master Python in 2024,[SYNTHETIC] How to Master Python in 2024 — sample description for demo purposes.,UC_SQLE008,SQLExpert,2022-07-05T17:19:25Z,24,PT11M54S,hd,true,none,ETL|NumPy|Data Science,6244,364,30,0,SYNTHETIC_SAMPLE
r_JSi3F3KEC,Top 10 Data Science Tips and Tricks,[SYNTHETIC] Top 10 Data Science Tips and Tricks — sample description for demo purposes.,UC_DATA002,DataDriven,2022-10-14T09:34:32Z,27,PT10M9S,hd,false,none,Power BI|SQL|AI|Pandas|Data Analytics,34271,376,282,0,SYNTHETIC_SAMPLE
JAMNXy6tLBK,Learn Machine Learning the Right Way,[SYNTHETIC] Learn Machine Learning the Right Way — sample description for demo purposes.,UC_TECH001,TechInsights,2022-04-04T13:32:54Z,27,PT10M11S,hd,true,none,NumPy|SQL|Excel,12563,200,51,0,SYNTHETIC_SAMPLE
soTSDR7YOQ7,How to Master Visualization in 2024,[SYNTHETIC] How to Master Visualization in 2024 — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2023-10-23T10:19:46Z,27,PT11M58S,hd,true,none,NumPy|Machine Learning|SQL,70633,2933,643,0,SYNTHETIC_SAMPLE
DtzrICM4VMb,I Tried Data Science for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Data Science for 30 Days — Here's What Happened — sample description for demo purposes.,UC_TECH001,TechInsights,2022-12-22T14:55:14Z,27,PT14M42S,hd,false,none,Excel|ETL,24318,1811,167,0,SYNTHETIC_SAMPLE
AugkAFQzWcf,I Tried Excel for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Excel for 30 Days — Here's What Happened — sample description for demo purposes.,UC_SQLE008,SQLExpert,2023-01-28T02:06:40Z,22,PT13M23S,sd,true,none,Dashboard|Python|Data Engineering|Tableau|Visualization,8455,658,61,0,SYNTHETIC_SAMPLE
ris4FbOZTta,I Tried Statistics for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Statistics for 30 Days — Here's What Happened — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2023-09-26T18:59:43Z,25,PT57M42S,hd,true,none,Data Engineering|Power BI,21859,894,27,0,SYNTHETIC_SAMPLE
pJy6G43rYA7,Data Science vs Everything — Which is Best?,[SYNTHETIC] Data Science vs Everything — Which is Best? — sample description for demo purposes.,UC_CODE003,CodeMaster,2024-02-28T17:49:57Z,24,PT12M5S,sd,true,none,Data Science|ETL|Machine Learning|Pandas,184650,12635,2716,0,SYNTHETIC_SAMPLE
mSKoXcVTZyQ,Business Intelligence vs Everything — Which is Best?,[SYNTHETIC] Business Intelligence vs Everything — Which is Best? — sample description for demo purposes.,UC_SQLE008,SQLExpert,2024-10-09T21:01:48Z,22,PT40M46S,hd,false,none,Machine Learning|Dashboard,11807,494,60,0,SYNTHETIC_SAMPLE
3_eYqNzfvRI,How to Master Data Engineering in 2024,[SYNTHETIC] How to Master Data Engineering in 2024 — sample description for demo purposes.,UC_PYTH006,PythonPro,2023-05-07T21:59:00Z,28,PT12M47S,sd,true,none,Pandas|Data Science,7026,77,18,0,SYNTHETIC_SAMPLE
5cYsxjHKYkf,How to Master Deep Learning in 2024,[SYNTHETIC] How to Master Deep Learning in 2024 — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2023-08-18T06:17:06Z,28,PT21M52S,hd,false,none,Pandas|Data Engineering|NumPy,120749,4957,1275,0,SYNTHETIC_SAMPLE
CwLOBq2myEp,Advanced Python Techniques,[SYNTHETIC] Advanced Python Techniques — sample description for demo purposes.,UC_SQLE008,SQLExpert,2024-06-07T10:49:24Z,22,PT34M39S,sd,false,none,Python|AI|NumPy|Visualization,2772,159,7,0,SYNTHETIC_SAMPLE
ZomqWXRigOc,ETL Project Ideas for Your Resume,[SYNTHETIC] ETL Project Ideas for Your Resume — sample description for demo purposes.,UC_TECH001,TechInsights,2023-11-16T19:04:47Z,25,PT34M33S,hd,false,none,SQL|Data Science|Business Intelligence,64242,4130,246,0,SYNTHETIC_SAMPLE
1q0EZVvh9j9,Complete Tableau Course — Zero to Hero,[SYNTHETIC] Complete Tableau Course — Zero to Hero — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2024-11-16T15:10:33Z,27,PT39M59S,sd,false,none,AI|Python,1713,80,23,0,SYNTHETIC_SAMPLE
8gob4J6oe06,Build a Power BI Dashboard from Scratch,[SYNTHETIC] Build a Power BI Dashboard from Scratch — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2023-04-15T10:27:58Z,25,PT9M28S,sd,true,none,Data Analytics|Visualization|Data Science,3047,155,37,0,SYNTHETIC_SAMPLE
8SILU4P1N8r,Top 10 Power BI Tips and Tricks,[SYNTHETIC] Top 10 Power BI Tips and Tricks — sample description for demo purposes.,UC_SQLE008,SQLExpert,2024-12-08T07:31:42Z,28,PT24M16S,sd,true,none,Data Engineering|Pandas|Statistics|Data Analytics|Business Intelligence,15197,565,89,0,SYNTHETIC_SAMPLE
0fnO_dv-Yn1,Statistics Tutorial for Beginners,[SYNTHETIC] Statistics Tutorial for Beginners — sample description for demo purposes.,UC_PYTH006,PythonPro,2024-05-10T22:21:50Z,25,PT8M14S,hd,true,none,Business Intelligence|Machine Learning|Python,60644,4716,864,0,SYNTHETIC_SAMPLE
iwYLbqiAheC,Machine Learning vs Everything — Which is Best?,[SYNTHETIC] Machine Learning vs Everything — Which is Best? — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2023-07-17T09:47:28Z,27,PT7M58S,hd,false,none,Data Analytics|Dashboard|Data Science,18424,326,240,0,SYNTHETIC_SAMPLE
6efMerOJu-H,Build a Data Analytics Dashboard from Scratch,[SYNTHETIC] Build a Data Analytics Dashboard from Scratch — sample description for demo purposes.,UC_SQLE008,SQLExpert,2023-12-06T19:44:12Z,28,PT44M7S,sd,true,none,Visualization|Tableau,10445,606,79,0,SYNTHETIC_SAMPLE
uuq9REffBVx,Pandas Full Project Walkthrough,[SYNTHETIC] Pandas Full Project Walkthrough — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2022-07-22T03:03:20Z,24,PT12M44S,hd,false,none,Deep Learning|Statistics,12541,475,138,0,SYNTHETIC_SAMPLE
Qog2xWKZ2_0,I Tried Data Science for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Data Science for 30 Days — Here's What Happened — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2024-08-11T03:40:11Z,28,PT6M46S,hd,false,none,Excel|NumPy,3053,154,10,0,SYNTHETIC_SAMPLE
jObVnAvxUXK,Statistics Tutorial for Beginners,[SYNTHETIC] Statistics Tutorial for Beginners — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2022-05-12T23:25:40Z,22,PT7M26S,hd,true,none,Data Analytics|SQL|NumPy,6323,313,39,0,SYNTHETIC_SAMPLE
whRLHto-dn8,I Tried ETL for 30 Days — Here's What Happened,[SYNTHETIC] I Tried ETL for 30 Days — Here's What Happened — sample description for demo purposes.,UC_SQLE008,SQLExpert,2022-08-02T04:29:03Z,24,PT9M39S,sd,false,none,Power BI|Python|ETL|Statistics,6904,173,54,0,SYNTHETIC_SAMPLE
Ze3cb63KKTA,Machine Learning Full Project Walkthrough,[SYNTHETIC] Machine Learning Full Project Walkthrough — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2022-06-28T21:58:28Z,27,PT8M55S,sd,true,none,Excel|Data Engineering|Statistics|Data Analytics,64002,2881,805,0,SYNTHETIC_SAMPLE
VoXeOHmXw9P,Pandas Full Project Walkthrough,[SYNTHETIC] Pandas Full Project Walkthrough — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2022-08-18T10:16:34Z,28,PT13M56S,hd,true,none,NumPy|Tableau|Excel,27186,421,356,0,SYNTHETIC_SAMPLE
C7KON3OjeCt,Learn Excel the Right Way,[SYNTHETIC] Learn Excel the Right Way — sample description for demo purposes.,UC_CODE003,CodeMaster,2023-03-03T16:34:35Z,28,PT12M55S,hd,false,none,Data Science|Data Engineering,2411,151,27,0,SYNTHETIC_SAMPLE
fMyL9Vc6KmM,Why Data Analytics is the Future of Tech,[SYNTHETIC] Why Data Analytics is the Future of Tech — sample description for demo purposes.,UC_SQLE008,SQLExpert,2024-02-18T20:19:40Z,28,PT20M15S,hd,true,none,Power BI|Business Intelligence|SQL|NumPy|Dashboard,17704,975,259,0,SYNTHETIC_SAMPLE
x6yXRdOvvJy,Pandas Interview Questions and Answers,[SYNTHETIC] Pandas Interview Questions and Answers — sample description for demo purposes.,UC_CODE003,CodeMaster,2023-01-27T11:05:01Z,28,PT12M29S,hd,false,none,Machine Learning|Statistics,12599,588,117,0,SYNTHETIC_SAMPLE
Y0Q1VRHPBxx,I Tried Machine Learning for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Machine Learning for 30 Days — Here's What Happened — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2022-10-08T00:41:19Z,24,PT6M26S,hd,false,none,Tableau|Pandas|Machine Learning|SQL|Data Analytics,6657,210,39,0,SYNTHETIC_SAMPLE
Xiyk1XZkCAR,Learn Dashboard the Right Way,[SYNTHETIC] Learn Dashboard the Right Way — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2023-01-04T23:46:03Z,28,PT13M59S,sd,false,none,Pandas|Visualization|Data Science|AI|Data Engineering,31251,395,168,0,SYNTHETIC_SAMPLE
yH90ZiqP3Jg,The Ultimate Statistics Guide,[SYNTHETIC] The Ultimate Statistics Guide — sample description for demo purposes.,UC_SQLE008,SQLExpert,2024-03-12T10:29:45Z,27,PT45M5S,hd,false,none,Excel|NumPy,41351,1749,189,0,SYNTHETIC_SAMPLE
7AzxyfougTv,Machine Learning Project Ideas for Your Resume,[SYNTHETIC] Machine Learning Project Ideas for Your Resume — sample description for demo purposes.,UC_SQLE008,SQLExpert,2022-08-15T21:06:46Z,25,PT8M47S,hd,true,none,ETL|Machine Learning|Visualization|Pandas,36687,2464,488,0,SYNTHETIC_SAMPLE
HhstdAYDh5M,Python Explained in 10 Minutes,[SYNTHETIC] Python Explained in 10 Minutes — sample description for demo purposes.,UC_TECH001,TechInsights,2022-01-26T12:45:15Z,28,PT7M33S,hd,true,none,Deep Learning|Python|Statistics|Power BI,18264,884,201,0,SYNTHETIC_SAMPLE
YGb3cyxVwep,SQL vs Everything — Which is Best?,[SYNTHETIC] SQL vs Everything — Which is Best? — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2024-10-17T18:37:39Z,27,PT19M38S,hd,false,none,Data Analytics|Statistics|Business Intelligence,12420,953,104,0,SYNTHETIC_SAMPLE
Dscmc7G-IqW,The Ultimate ETL Guide,[SYNTHETIC] The Ultimate ETL Guide — sample description for demo purposes.,UC_CODE003,CodeMaster,2022-10-24T20:51:08Z,24,PT7M18S,sd,false,none,Business Intelligence|NumPy,29762,429,349,0,SYNTHETIC_SAMPLE
_FF7HZUfM0I,Advanced Deep Learning Techniques,[SYNTHETIC] Advanced Deep Learning Techniques — sample description for demo purposes.,UC_DATA002,DataDriven,2023-05-14T23:37:48Z,22,PT12M30S,hd,true,none,Data Science|Visualization|Data Engineering|Dashboard,96723,7024,590,0,SYNTHETIC_SAMPLE
OYdQzGVkb2R,Why Data Engineering is the Future of Tech,[SYNTHETIC] Why Data Engineering is the Future of Tech — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2023-11-12T16:16:01Z,27,PT11M1S,hd,true,none,Pandas|Statistics,10128,537,68,0,SYNTHETIC_SAMPLE
WKHzPphVFyJ,I Tried Data Analytics for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Data Analytics for 30 Days — Here's What Happened — sample description for demo purposes.,UC_PYTH006,PythonPro,2023-02-11T15:44:30Z,24,PT12M40S,sd,false,none,Data Science|ETL|Tableau,20007,1528,117,0,SYNTHETIC_SAMPLE
9-QTJstkTSl,Build a SQL Dashboard from Scratch,[SYNTHETIC] Build a SQL Dashboard from Scratch — sample description for demo purposes.,UC_DATA002,DataDriven,2023-07-16T13:24:19Z,27,PT12M35S,hd,true,none,Machine Learning|Pandas|ETL,7953,634,97,0,SYNTHETIC_SAMPLE
ezTEAAKiueD,I Tried Visualization for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Visualization for 30 Days — Here's What Happened — sample description for demo purposes.,UC_TECH001,TechInsights,2024-03-14T16:34:45Z,22,PT14M24S,sd,true,none,Machine Learning|Deep Learning|Data Analytics,11900,227,158,0,SYNTHETIC_SAMPLE
8Hsfm9rONfP,Machine Learning Explained in 10 Minutes,[SYNTHETIC] Machine Learning Explained in 10 Minutes — sample description for demo purposes.,UC_DATA002,DataDriven,2024-07-08T08:13:04Z,25,PT10M30S,hd,true,none,Data Analytics|Python|SQL|Dashboard,79537,5999,299,0,SYNTHETIC_SAMPLE
PtpZzDSkADv,I Tried Deep Learning for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Deep Learning for 30 Days — Here's What Happened — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2022-08-12T04:21:25Z,27,PT13M29S,sd,false,none,AI|Machine Learning|Statistics|NumPy,76366,5515,642,0,SYNTHETIC_SAMPLE
syNp3kuKuWF,Build a Pandas Dashboard from Scratch,[SYNTHETIC] Build a Pandas Dashboard from Scratch — sample description for demo purposes.,UC_DATA002,DataDriven,2024-03-10T14:19:58Z,22,PT2M55S,sd,false,none,ETL|Python|SQL|Tableau,27516,752,52,0,SYNTHETIC_SAMPLE
1Rsagiqxzcd,I Tried Tableau for 30 Days — Here's What Happened,[SYNTHETIC] I Tried Tableau for 30 Days — Here's What Happened — sample description for demo purposes.,UC_SQLE008,SQLExpert,2024-05-22T18:03:03Z,27,PT5M51S,hd,false,none,SQL|AI|Data Engineering|Dashboard,40010,1188,366,0,SYNTHETIC_SAMPLE
JxjMzccTZHj,Complete Power BI Course — Zero to Hero,[SYNTHETIC] Complete Power BI Course — Zero to Hero — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2024-03-11T19:26:48Z,25,PT41M54S,hd,false,none,Excel|AI|Data Science|ETL,23150,836,342,0,SYNTHETIC_SAMPLE
xR_LYUSbE9Y,Dashboard vs Everything — Which is Best?,[SYNTHETIC] Dashboard vs Everything — Which is Best? — sample description for demo purposes.,UC_PYTH006,PythonPro,2024-06-17T15:05:10Z,25,PT14M36S,hd,true,none,Excel|Dashboard|AI|SQL|Deep Learning,11527,357,142,0,SYNTHETIC_SAMPLE
nGNE2UTHJ-E,Top 10 Power BI Tips and Tricks,[SYNTHETIC] Top 10 Power BI Tips and Tricks — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2023-08-09T09:02:45Z,28,PT2M20S,sd,true,none,Visualization|Business Intelligence|Statistics|Dashboard|AI,69431,2729,450,0,SYNTHETIC_SAMPLE
_tsnTuw7Yrh,Top 10 ETL Tips and Tricks,[SYNTHETIC] Top 10 ETL Tips and Tricks — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2024-11-17T02:18:20Z,25,PT34M3S,sd,false,none,Machine Learning|Data Science|Data Analytics|Visualization,94982,4660,357,0,SYNTHETIC_SAMPLE
rJrgVpd5oog,The Ultimate Data Engineering Guide,[SYNTHETIC] The Ultimate Data Engineering Guide — sample description for demo purposes.,UC_DATA002,DataDriven,2023-05-29T02:14:19Z,22,PT13M10S,sd,true,none,Python|Excel|Deep Learning,28737,717,359,0,SYNTHETIC_SAMPLE
XPoV2c6A17c,Learn Tableau the Right Way,[SYNTHETIC] Learn Tableau the Right Way — sample description for demo purposes.,UC_SQLE008,SQLExpert,2023-09-09T17:01:49Z,24,PT36M56S,sd,true,none,Data Analytics|Python|Data Science|ETL,78451,2351,106,0,SYNTHETIC_SAMPLE
iGrZvUPTavs,Build a Data Science Dashboard from Scratch,[SYNTHETIC] Build a Data Science Dashboard from Scratch — sample description for demo purposes.,UC_DATA002,DataDriven,2024-11-13T15:29:48Z,22,PT52M6S,hd,true,none,Deep Learning|Dashboard|Business Intelligence|Data Analytics|Tableau,1293,60,17,0,SYNTHETIC_SAMPLE
CrvLKqxpQDk,Build a Machine Learning Dashboard from Scratch,[SYNTHETIC] Build a Machine Learning Dashboard from Scratch — sample description for demo purposes.,UC_DATA002,DataDriven,2024-12-01T18:40:42Z,27,PT9M14S,sd,true,none,Statistics|Pandas|Dashboard|SQL,80437,842,487,0,SYNTHETIC_SAMPLE
EIQnpW3fCTe,Data Engineering Interview Questions and Answers,[SYNTHETIC] Data Engineering Interview Questions and Answers — sample description for demo purposes.,UC_SQLE008,SQLExpert,2024-05-26T09:44:04Z,27,PT40M31S,hd,true,none,Visualization|Machine Learning|Excel,13321,520,112,0,SYNTHETIC_SAMPLE
CdiAKJRtbqa,How to Master Data Engineering in 2024,[SYNTHETIC] How to Master Data Engineering in 2024 — sample description for demo purposes.,UC_PYTH006,PythonPro,2022-12-05T11:56:58Z,25,PT14M57S,hd,true,none,Statistics|SQL|Data Analytics|Data Engineering|ETL,17462,772,236,0,SYNTHETIC_SAMPLE
PA-y36yRQIP,Data Science Full Project Walkthrough,[SYNTHETIC] Data Science Full Project Walkthrough — sample description for demo purposes.,UC_SQLE008,SQLExpert,2023-06-25T05:48:04Z,28,PT7M18S,hd,true,none,Dashboard|Machine Learning|Pandas|Deep Learning|Python,13396,852,196,0,SYNTHETIC_SAMPLE
pwr7UhZAX4b,The Ultimate Data Engineering Guide,[SYNTHETIC] The Ultimate Data Engineering Guide — sample description for demo purposes.,UC_TECH001,TechInsights,2022-11-17T03:16:47Z,22,PT12M14S,hd,true,none,Data Engineering|Data Analytics,4604,217,57,0,SYNTHETIC_SAMPLE
i-o6KKX0p4-,Build a AI Dashboard from Scratch,[SYNTHETIC] Build a AI Dashboard from Scratch — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2024-03-20T17:38:52Z,28,PT8M42S,hd,false,none,NumPy|Data Analytics|Excel|Business Intelligence,34572,2171,406,0,SYNTHETIC_SAMPLE
uAjyWE2tTZ6,ETL Tutorial for Beginners,[SYNTHETIC] ETL Tutorial for Beginners — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2024-05-23T15:16:04Z,25,PT58M56S,sd,false,none,AI|Pandas|NumPy,27630,1574,328,0,SYNTHETIC_SAMPLE
mrRM3mWUJE3,Advanced SQL Techniques,[SYNTHETIC] Advanced SQL Techniques — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2023-06-02T05:48:33Z,22,PT11M19S,sd,true,none,Tableau|Power BI|ETL,265107,4366,2917,0,SYNTHETIC_SAMPLE
DPtx4DZUWun,Tableau Full Project Walkthrough,[SYNTHETIC] Tableau Full Project Walkthrough — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2023-05-02T02:34:42Z,25,PT52M42S,sd,true,none,Machine Learning|Python|NumPy,24160,785,111,0,SYNTHETIC_SAMPLE
J8vWFUVDUwi,Top 10 Machine Learning Tips and Tricks,[SYNTHETIC] Top 10 Machine Learning Tips and Tricks — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2024-04-29T00:43:26Z,22,PT11M28S,sd,true,none,Dashboard|Data Analytics,6822,340,27,0,SYNTHETIC_SAMPLE
aGxNQNEFaJa,Python Full Project Walkthrough,[SYNTHETIC] Python Full Project Walkthrough — sample description for demo purposes.,UC_DATA002,DataDriven,2024-04-02T10:07:13Z,28,PT3M41S,sd,false,none,Dashboard|Deep Learning,16429,430,176,0,SYNTHETIC_SAMPLE
wYf9DpSt0f-,Power BI vs Everything — Which is Best?,[SYNTHETIC] Power BI vs Everything — Which is Best? — sample description for demo purposes.,UC_CODE003,CodeMaster,2024-10-06T13:49:16Z,28,PT1M49S,hd,true,none,AI|Visualization|ETL|Python|Business Intelligence,59992,3202,249,0,SYNTHETIC_SAMPLE
2gHcn34Ece7,Build a SQL Dashboard from Scratch,[SYNTHETIC] Build a SQL Dashboard from Scratch — sample description for demo purposes.,UC_TECH001,TechInsights,2024-04-23T13:39:06Z,27,PT59M2S,hd,true,none,Python|Tableau|Machine Learning|AI,74182,4814,645,0,SYNTHETIC_SAMPLE
